Head of School,Year,Choate News Issue Day,Page,Actual Day,Snow Day,
Shanahan,2002,2/13/02,1,Unknown,,
Shanahan,2003,,,,1/24/03,pg1
Shanahan,2004,1/30/04,1,1/22/04,,
Shanahan,2005,1/8/05,1,1/25/05,,
Shanahan,2006,1/27/06,1,1/24/06,,
Shanahan,2007,1/26/07,6,None,,
Shanahan,2007,2/9/07,1,1/24/07,,
Shanahan,2008,1/25/08,1,1/14/08,,
Shanahan,2009,2/9/09,1,1/28/09,,
Curtis,2012,2/2/12,1,1/23/12,,
Curtis,2013,2/15/13,6,1/24/13,,
Curtis,2014,4/18/14,2,4/14/14,,
Curtis,2015,Spring,Spring,Spring,,
Curtis,2016,2/5/16,1,2/1/16,,
Curtis,2017,No mention,No mention,No mention,,
Curtis,2018,2/2/18,3,1/26/18,,
Curtis,2019,,,4/8/19,,
Curtis,2020,,,2/14/20,,
Curtis,2021,,,5/7/21,,
Curtis,2022,,,4/15/22,,
